FIFA World Cup 2026 — Match Events Dashboard,,,,,,,,,,
"Source: match_events sheet (183 events, 28 matches). IDs shown where names are unavailable.",,,,,,,,,,
,,,,,,,,,,
TOURNAMENT TOTALS,Totals,,GOALS BY MINUTE,Goals,,,,,,
Matches,28,,1-15,8,,,,,,
Goals,89,,16-30,13,,,,,,
Yellow Cards,81,,31-45,16,,,,,,
Red Cards,6,,46-60,11,,,,,,
VAR Reviews,7,,61-75,13,,,,,,
Goals per Match,3.18,,76-90,28,,,,,,
,,,,,,,,,,
,,,,,,,,,,
TEAM LEADERBOARD,,,,,,TOP SCORERS,,,,
Team ID,Goals,Yellow,Red,Total Events,,Player ID,Goals,,Team,Goals
5,7,4,0,11,,946,3,,Team 5,7
17,7,0,0,7,,114,3,,Team 17,7
23,5,2,0,7,,113,2,,Team 23,5
8,5,1,0,6,,332,2,,Team 8,5
13,4,2,0,6,,423,2,,Team 13,4
36,4,1,0,5,,590,2,,Team 36,4
45,4,0,0,4,,713,2,,Team 45,4
1,3,5,1,9,,842,2,,Team 1,3
37,3,2,0,5,,919,2,,Team 37,3
33,3,1,0,4,,887,2,,Team 33,3
39,3,1,0,4,,1153,2,,,
44,3,1,0,4,,191,2,,,
4,2,5,0,7,,,,,,
46,2,3,0,5,,,,,,
6,2,2,1,5,,,,,,
3,2,1,0,3,,,,,,
15,2,1,0,3,,,,,,
21,2,1,0,3,,,,,,
28,2,1,0,3,,,,,,
22,2,0,0,2,,,,,,
27,2,0,0,3,,,,,,
2,1,4,2,9,,,,,,
31,1,4,0,5,,,,,,
18,1,3,0,4,,,,,,
25,1,3,0,4,,,,,,
34,1,3,0,4,,,,,,
47,1,3,0,4,,,,,,
7,1,2,2,7,,,,,,
10,1,2,0,3,,,,,,
12,1,2,0,3,,,,,,
19,1,2,0,3,,,,,,
24,1,2,0,3,,,,,,
35,1,2,0,3,,,,,,
40,1,2,0,3,,,,,,
42,1,2,0,3,,,,,,
14,1,1,0,2,,,,,,
26,1,1,0,2,,,,,,
32,1,1,0,3,,,,,,
9,1,0,0,1,,,,,,
41,1,0,0,1,,,,,,
43,1,0,0,1,,,,,,
30,0,2,0,2,,,,,,
38,0,2,0,2,,,,,,
11,0,1,0,1,,,,,,
20,0,1,0,1,,,,,,
29,0,1,0,2,,,,,,
48,0,1,0,1,,,,,,
16,0,0,0,0,,,,,,
