World Cup — Tournament Summary,,
,,
Overview,,
Total matches,72,
Completed,28,
Scheduled,44,
Distinct teams,48,
First match date,"Thu, Jun 11, 2026",
Last match date,"Mon, Jun 29, 2026",
,,
Goals,,
Total goals,89,
Goals per match,3.18,
Home goals,61,
Away goals,28,
Home goals / match,2.18,
Away goals / match,1.00,
Highest-scoring match (goals),8,
Biggest winning margin,6,
Clean sheets (either side),10,
,,
Results,Count,Share
Home wins,15,53.6%
Draws,10,35.7%
Away wins,3,10.7%
,,
Expected Goals (xG),,
Total xG (completed),83.52,
Home xG,53.92,
Away xG,29.60,
xG per match,2.98,
Actual ? Expected goals,+5.48,
Finishing vs xG,Overperforming,
